,pendiente,VPL,coords,WGS84(GPS),date,time,H (%),T (C),V (m/s)
0,6.66667,0.005429,"(781410.8857684857, 5882854.141089097)","(-71.83108423317948, -37.15838297117608)",2017-02-14,17:00,71.8215,17.9193,3.33461
1,13.3333,0.0016719999999999999,"(670918.3050503387, 5841153.4465974495)","(-73.06484307489475, -37.56079948860041)",2015-12-30,20:00,64.6337,14.6042,3.22632
2,-43.3333,0.005973,"(715599.1743549515, 5727723.4737017)","(-72.52515166055817, -38.57280701983519)",2019-03-18,10:00,90.501,2.85562,9.236139999999999
3,37.7778,0.001325,"(705019.3597288682, 5658491.045153752)","(-72.62582955383753, -39.19866930544828)",2017-01-14,08:00,16.8809,13.1623,8.3174
4,-4.444400000000002,0.009777,"(667973.0952557751, 5841184.090236984)","(-73.09817912445067, -37.56106520866647)",2018-01-07,21:00,25.1265,22.0634,4.964119999999999
5,2.22222,0.0025960000000000002,"(686102.2277552102, 5850294.435745207)","(-72.89534580731244, -37.47551941819254)",2019-01-12,21:00,57.6437,9.68057,3.77976
6,-21.111099999999993,0.005429,"(747962.5329585002, 5827443.7787175365)","(-72.18870447422779, -37.66671327436533)",2016-02-08,15:00,36.6871,13.9376,2.00152
7,6.66667,0.0032549999999999996,"(749114.7942226148, 5837832.344879877)","(-72.17919366486868, -37.57287801137606)",2019-02-13,23:00,51.0704,15.1544,0.6868380000000001
8,15.5556,0.0025960000000000002,"(659062.6455302882, 5803661.709982841)","(-73.19080932518591, -37.90067967890901)",2020-01-03,19:00,45.5483,15.7707,11.1348
9,-77.7778,0.0016719999999999999,"(785024.8651490111, 6083566.193960202)","(-71.86358183564357, -35.350538061565516)",2017-02-20,18:00,48.8157,19.995,5.1429
10,-26.666700000000006,0.0025960000000000002,"(657885.1042347079, 5646326.7974058455)","(-73.16850643833295, -39.31806878020642)",2018-01-12,05:00,52.7601,13.8754,4.30665
11,47.7778,0.0025960000000000002,"(753672.370955777, 5703191.825448797)","(-72.0796316814625, -38.783544823998675)",2019-03-05,07:00,51.3174,5.8409699999999996,1.57148
