Clave,Base,Área Patrimonio,EESS,Geo Ref,Geográfica,UTM (X) epsg:32518,UTM (Y) epsg:32518,Geo Lat.,Geo Lon.,Modelo Aeronave,Velocidad Crucero (Km/h),Autonomía de Vuelo,Capacidad de Bombardeo (lt.),Región,Comuna,Tipo
Z-5,Angol,Nacimiento,Cerda,HR 1504 C,Aeródromo Angol,703678.66,5814254.95,"37º 47' 46""","72º 41' 11""",Air Tractor 802,259,,3000,IX- Araucanía,Angol,CISTERNAAEREA
Z-6,Angol,Nacimiento,Cerda,HR 1504 C,Aeródromo Angol,703678.66,5814254.95,"37º 47' 46""","72º 41' 11""",Air Tractor 802,259,,3000,IX- Araucanía,Angol,CISTERNAAEREA
Z-9,Angol,Nacimiento,Cerda,HR 1504 C,Aeródromo Angol,703678.66,5814254.95,"37º 47' 46""","72º 41' 11""",Air Tractor 802,259,,3000,IX- Araucanía,Angol,CISTERNAAEREA
Z-4,Cauquenes,Talca,Indef,DW 2742 C,9.5 Km N de Cauquenes,741464.6,6026371.6,"35º 52' 37""","72º 19' 31""",Air Tractor 802,259,,3000,VII- Maule,Cauquenes,CISTERNAAEREA
Z-3,María Dolores,Los Angeles,Serfonac,GX 5928 B,Aeródromo Los Angeles,728021.07,5858347.74,"37º 23' 36""","72º 25' 27""",Air Tractor 802,259,,3000,VIII- Biobio,Los Ángeles,CISTERNAAEREA
Z-8,María Dolores,Los Angeles,Serfonac,GX 5928 B,Aeródromo Los Angeles,728021.07,5858347.74,"37º 23' 36""","72º 25' 27""",Air Tractor 802,259,,3000,VIII- Biobio,Los Ángeles,CISTERNAAEREA
Z-2,Panguilemo,Talca,Indef,DJ 8108 B,4 km NE de Talca,808503.13,6080505.8,"35º 22' 15""","71º 36' 16""",Air Tractor 802,259,,3000,VII- Maule,Talca,CISTERNAAEREA
Z-1,Trilahue,Los Angeles,Serfonac,GO 8730 D,10 km S de Cabrero,729833.95,5887726.81,"37º 07' 42""","72º 24' 45""",Air Tractor 802,259,,3000,VIII- Biobio,Cabrero,CISTERNAAEREA
Z-7,Trilahue,Los Angeles,Serfonac,GO 8730 D,10 km S de Cabrero,729833.95,5887726.81,"37º 07' 42""","72º 24' 45""",Air Tractor 802,259,,3000,VIII- Biobio,Cabrero,CISTERNAAEREA
AD-1,María Dolores,Los Angeles,Serfonac,GX 5928 B,Aeródromo Los Angeles,728021.07,5858347.74,"37º 23' 36""","72º 25' 27""",Tecnam P2006T,252,4,-,VIII- Biobio,Los Ángeles,COORDINACIÓN
AD-2,Trilahue,Los Angeles,Serfonac,GO 8730 D,10 km S de Cabrero,729834.79,5887756.93,"37º 07' 42""","72º 24' 45""",Tecnam P2006T,252,4,-,VIII-Biobio,Cabrero,COORDINACIÓN
W-10,Angol,Nacimiento,Cerda,HR 1504 C,Aeródromo Angol,703678.66,5814254.95,"37º 47' 46""","72º 41' 11""",Chinook,222,,10000,IX- Araucania,Angol,HELICOMBATE
W-9,Trilahue,Los Angeles,Serfonac,GO 8730 C,10 km S de Cabrero,729756.84,5886710.96,"37º 08' 16""","72º 24' 48""",Chinook,222,,10000,VIII- Biobio,Cabrero,HELICOMBATE
W-5,Junquillar ,Nacimiento,Cerda,HR1500 C,0.85 Km al W Angol,699112.03,5814675.16,"37° 47' 27""","72° 44' 19""",Bell 412,203,,1200,VII- Maule,Constituci�n,TRANSPORTE
W-6,María Dolores,Los Angeles,Serfonac,GX 5928 C,Aeródromo Los Angeles,727969.04,5858316.67,"37º 23' 38""","72º 25' 29""",Bell 212,203,,1200,VIII- Biobio,Los Ángeles,TRANSPORTE
W-7,Pan de Azúcar,Talca,Indef,DQ 5374 D,22 Km W de San Javier,773535.53,6053503.24,"35° 37' 27""","71° 58' 47"" ",Bell 412,203,,1200,VII- Maule,San Javier,TRANSPORTE
W-4,San Antonio,Collipulli,Safco,HS 9726 A,1.2 km al NE de Collipulli,726890.45,5797666.84,"37º 56' 24""","72º 25' 05""",Bell 212,203,,1200,IX- Araucania,Collipulli,TRANSPORTE
W-8,Talcamavida,Laja,Serfonac,GM 8390 B,4.8 km SE de Talcamavida,685704.25,5885197.99,"37° 09' 40""","72° 54' 30""",Bell 212,203,,1200,VIII- Biobio,Hualqui,TRANSPORTE
W-3,Tijeral,Nacimiento,Cerda,HR 1908 B,2.6 Km al SW Tijeral,708722.37,5818259.69,"37° 45' 33""","72° 37' 50""",Bell 412,203,,1200,IX- Araucania,Angol,TRANSPORTE
W-2,Tralpenes,Nacimiento,Serfonac,HG 4510 D,1.6 km al E de Nacimiento,709950.99,5845529.89,"37º 30' 47""","72º 37' 28""",Bell 212,203,,1200,VIII- Biobio,Nacimiento,TRANSPORTE
W-1,Trilahue,Los Angeles,Serfonac,GO 8730 C,10 km S de Cabrero,729756.84,5886710.96,"37º 08' 16""","72º 24' 48""",Bell 212,203,,1200,VIII- Biobio,Cabrero,TRANSPORTE
