2017-02-14T17:30:00
4
-71.83 -37.15
30 10 0.5 8.4212225 30 0.009777 2017-02-14T17:00:00 2000 PL08 500000 0
-71.86 -37.55
30 30 0.5 9.4212225 30 0.009777 2017-02-14T17:30:00 2000 PL08 500000 0
-71.63 -37.1
30 10 0.5 8.4212225 30 0.009777 2017-02-14T17:20:00 2000 PL08 500000 0
-71.73 -37.05
30 30 0.5 9.4212225 30 0.009777 2017-02-14T17:10:00 2000 PL08 500000 0
18
REC1INC1 TERRESTRE 0.0 -71.835 -37.155 0 0 0 2017-02-14T17:10:00 2017-02-14T17:40:00 2017-02-14T17:40:00 2017-02-14T17:50:00
REC2INC1 TERRESTRE 0.0 -71.835 -37.155 0 0 0 2017-02-14T17:15:00 2017-02-14T17:50:00 2017-02-14T17:34:00 2017-02-14T17:40:00
REC3INC1 TERRESTRE 0.0 -71.835 -37.155 0 -1 0 2017-02-14T17:50:00 2017-02-14T17:40:00 2017-02-14T17:40:00 2017-02-14T17:40:00
REC1INC3 TERRESTRE 0.0 -71.635 -37.105 0 -1 0 2017-02-14T17:30:00 2017-02-14T18:40:00 2017-02-14T18:30:00 2017-02-14T17:50:00
REC2INC3 TERRESTRE 0.0 -71.635 -37.105 0 -1 0 2017-02-14T17:30:00 2017-02-14T17:30:00 2017-02-14T17:30:00 2017-02-14T17:30:00
REC3INC3 TERRESTRE 0.0 -71.635 -37.105 0 -1 0 2017-02-14T17:30:00 2017-02-14T17:30:00 2017-02-14T17:30:00 2017-02-14T17:30:00
REC1INC2 TERRESTRE 0.0 -71.865 -37.755 0 -1 0 2017-02-14T17:50:00 2017-02-14T17:50:00 2017-02-14T17:50:00 2017-02-14T17:50:00
REC2INC2 TERRESTRE 0.0 -71.865 -37.755 0 -1 0 2017-02-14T17:50:00 2017-02-14T17:50:00 2017-02-14T17:50:00 2017-02-14T17:50:00
REC3INC2 TERRESTRE 0.0 -71.865 -37.755 0 -1 0 2017-02-14T17:50:00 2017-02-14T17:50:00 2017-02-14T17:50:00 2017-02-14T17:50:00
REC4INC2 TERRESTRE 0.0 -71.865 -37.755 0 -1 0 2017-02-14T17:50:00 2017-02-14T17:50:00 2017-02-14T17:50:00 2017-02-14T17:50:00
REC5INC2 TERRESTRE 0.0 -71.865 -37.755 0 -1 0 2017-02-14T17:50:00 2017-02-14T17:50:00 2017-02-14T17:50:00 2017-02-14T17:50:00
REC6INC2 TERRESTRE 0.0 -71.865 -37.755 0 -1 0 2017-02-14T17:50:00 2017-02-14T17:50:00 2017-02-14T17:50:00 2017-02-14T17:50:00
REC1INC4 TERRESTRE 0.0 -71.765 -37.755 0 -1 0 2017-02-14T17:30:00 2017-02-14T17:30:00 2017-02-14T17:30:00 2017-02-14T17:30:00
REC2INC4 TERRESTRE 0.0 -71.765 -37.755 0 -1 0 2017-02-14T17:30:00 2017-02-14T17:30:00 2017-02-14T17:30:00 2017-02-14T17:30:00
REC3INC4 TERRESTRE 0.0 -71.765 -37.755 0 -1 0 2017-02-14T17:30:00 2017-02-14T17:30:00 2017-02-14T17:30:00 2017-02-14T17:30:00
REC4INC4 TERRESTRE 0.0 -71.765 -37.755 0 -1 0 2017-02-14T17:30:00 2017-02-14T17:30:00 2017-02-14T17:30:00 2017-02-14T17:30:00
REC5INC4 TERRESTRE 0.0 -71.765 -37.755 0 -1 0 2017-02-14T17:30:00 2017-02-14T17:30:00 2017-02-14T17:30:00 2017-02-14T17:30:00
REC6INC4 TERRESTRE 0.0 -71.765 -37.755 0 -1 0 2017-02-14T17:30:00 2017-02-14T17:30:00 2017-02-14T17:30:00 2017-02-14T17:30:00
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
176.6666667 176.6666667 176.6666667 530 441.6666667 441.6666667 441.6666667
4988 14
30 14
37 21
103 83
4204 4204
53663 53663
4204 4204
REC1INC1 1 1
REC2INC1 1 1
REC3INC1 1 1
REC1INC3 1 1
REC2INC3 1 1
REC3INC3 1 1
REC1INC2 1 1
REC2INC2 1 1
REC3INC2 1 1
REC4INC2 1 1
REC5INC2 1 1
REC6INC2 1 1
REC1INC4 1 1
REC2INC4 1 1
REC3INC4 1 1
REC4INC4 1 1
REC5INC4 1 1
REC6INC4 1 1
REC1INC1 2 1
REC2INC1 2 1
REC3INC1 2 1
REC1INC3 2 1
REC2INC3 2 1
REC3INC3 2 1
REC1INC2 2 1
REC2INC2 2 1
REC3INC2 2 1
REC4INC2 2 1
REC5INC2 2 1
REC6INC2 2 1
REC1INC4 2 1
REC2INC4 2 1
REC3INC4 2 1
REC4INC4 2 1
REC5INC4 2 1
REC6INC4 2 1
REC1INC1 3 1
REC2INC1 3 1
REC3INC1 3 1
REC1INC3 3 1
REC2INC3 3 1
REC3INC3 3 1
REC1INC2 3 1
REC2INC2 3 1
REC3INC2 3 1
REC4INC2 3 1
REC5INC2 3 1
REC6INC2 3 1
REC1INC4 3 1
REC2INC4 3 1
REC3INC4 3 1
REC4INC4 3 1
REC5INC4 3 1
REC6INC4 3 1
REC1INC1 4 1
REC2INC1 4 1
REC3INC1 4 1
REC1INC3 4 1
REC2INC3 4 1
REC3INC3 4 1
REC1INC2 4 1
REC2INC2 4 1
REC3INC2 4 1
REC4INC2 4 1
REC5INC2 4 1
REC6INC2 4 1
REC1INC4 4 1
REC2INC4 4 1
REC3INC4 4 1
REC4INC4 4 1
REC5INC4 4 1
REC6INC4 4 1
